slide_id,anchor,wikipedia_concept,url,Slide-focus,Image-based,where,use,Out-of-domain,Comment
1,Utilisateur,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,,
3,informatique ubiquitaire,Informatique ubiquitaire,https://fr.wikipedia.org/wiki/Informatique_ubiquitaire,,,,,,
4,programmation,Programmation informatique,https://fr.wikipedia.org/wiki/Programmation_informatique,,,,required-now,,
4,culture informatique,Culture de l’information,https://fr.wikipedia.org/wiki/Culture_de_l%27information,,,,,,
4,machine,Machine,https://fr.wikipedia.org/wiki/Machine,,,,,,
4,codage,Codage,https://fr.wikipedia.org/wiki/Codage,,,,,,
4,langage,Langage,https://fr.wikipedia.org/wiki/Langage,,,,,,
4,algorithme,algorithme,https://fr.wikipedia.org/wiki/Algorithme,,,,,,
5,Utilisateur,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,,
6,Utilisateur,Utilisateur (informatique),https://fr.wikipedia.org/wiki/Utilisateur_(informatique),,,,,,
6,intelligence artificielle,intelligence artificielle,https://fr.wikipedia.org/wiki/Intelligence_artificielle,,,,,,
7,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
8,Facebook,Facebook,https://fr.wikipedia.org/wiki/Facebook,false,,,,,
8,site,Site web,https://fr.wikipedia.org/wiki/Site_web,false,,,,,
8,Myspace,Myspace,https://fr.wikipedia.org/wiki/Myspace,false,,,,,
8,Viadeo,Viadeo,https://fr.wikipedia.org/wiki/Viadeo,false,,,,,
8,LinkedIn,LinkedIn,https://fr.wikipedia.org/wiki/LinkedIn,false,,,,,
8,Twitter,Twitter,https://fr.wikipedia.org/wiki/Twitter,false,,,,,
9,Ebay,eBay,https://fr.wikipedia.org/wiki/EBay,false,,,,,
9,Amazon,Amazon (entreprise),https://fr.wikipedia.org/wiki/Amazon_(entreprise),false,,,,,
9,MOOC,Massive Open Online Course,https://fr.wikipedia.org/wiki/Massive_Open_Online_Course,false,,,,,
10,petit monde,Étude du petit monde,https://fr.wikipedia.org/wiki/%C3%89tude_du_petit_monde,,,,required-now,,
11,six degrés de séparation,Six degrés de séparation,https://fr.wikipedia.org/wiki/Six_degr%C3%A9s_de_s%C3%A9paration,,,,later,,
11,Stanley Milgram,Stanley Milgram,https://fr.wikipedia.org/wiki/Stanley_Milgram,,,,,,
12,Internet,Internet,https://fr.wikipedia.org/wiki/Internet,,,,,,
13,réseau (a?)social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
13,hatebook,,,,,out-of-wikipedia,,,
15,Réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
15,Internet,Internet,https://fr.wikipedia.org/wiki/Internet,,,,,,
15,sociologues,Sociologue,https://fr.wikipedia.org/wiki/Sociologue,false,,,,,
15,petit monde,Étude du petit monde,https://fr.wikipedia.org/wiki/%C3%89tude_du_petit_monde,,,,,,
16,Réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
16,graphes,Graphe (type abstrait),https://fr.wikipedia.org/wiki/Graphe_(type_abstrait),,,,required-now,,
17,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
19,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
20,simulation,Simulation,https://fr.wikipedia.org/wiki/Simulation,,,,,,
20,graphes,Graphe (type abstrait),https://fr.wikipedia.org/wiki/Graphe_(type_abstrait),,,,,,
20,inférer,Inférence (logique),https://fr.wikipedia.org/wiki/Inf%C3%A9rence_(logique),false,,,,,
21,modèle mathématique,Modèle mathématique,https://fr.wikipedia.org/wiki/Mod%C3%A8le_math%C3%A9matique,false,,,,,
21,graphes,Graphe (type abstrait),https://fr.wikipedia.org/wiki/Graphe_(type_abstrait),,,,,,
21,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
21,simulation,Simulation,https://fr.wikipedia.org/wiki/Simulation,,,,,,
22,Réseaux-graphes,Théorie des graphes,https://fr.wikipedia.org/wiki/Th%C3%A9orie_des_graphes,,,,required-now,,
23,théorie de l’information,Théorie de l’information,https://fr.wikipedia.org/wiki/Th%C3%A9orie_de_l%27information,,,,,,
23,capital social,Capital social,https://fr.wikipedia.org/wiki/Capital_social,,,,,,
24,capital social,Capital social,https://fr.wikipedia.org/wiki/Capital_social,,,,,,
25,théorie des graphes,Théorie des graphes,https://fr.wikipedia.org/wiki/Th%C3%A9orie_des_graphes,,,,,,
25,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
25,connexité,Connexité,https://fr.wikipedia.org/wiki/Connexit%C3%A9,,,,later,,
25,chemins,Chemin (théorie des graphes),https://fr.wikipedia.org/wiki/Chemin_(th%C3%A9orie_des_graphes),,,,later,,
25,cliques,Clique (théorie des graphes),https://fr.wikipedia.org/wiki/Clique_(th%C3%A9orie_des_graphes),,,,later,,
25,coupes du graphe,Coupe (théorie des graphes),https://fr.wikipedia.org/wiki/Coupe_(th%C3%A9orie_des_graphes),,,,later,,
26,graphes,Graphe (type abstrait),https://fr.wikipedia.org/wiki/Graphe_(type_abstrait),,,,,,
27,graphe,Graphe (type abstrait),https://fr.wikipedia.org/wiki/Graphe_(type_abstrait),,,,,,
27,non orienté,Graphe non orienté,https://fr.wikipedia.org/wiki/Graphe_non_orient%C3%A9,,,,,,
27,boucles,Boucle (théorie des graphes),https://fr.wikipedia.org/wiki/Boucle_(th%C3%A9orie_des_graphes),,,,,,
28,boucle,Boucle (théorie des graphes),https://fr.wikipedia.org/wiki/Boucle_(th%C3%A9orie_des_graphes),,,,,,
29,graphe orienté,Graphe orienté,https://fr.wikipedia.org/wiki/Graphe_orient%C3%A9,,,,,,
30,boucle,Boucle (théorie des graphes),https://fr.wikipedia.org/wiki/Boucle_(th%C3%A9orie_des_graphes),,,,,,
31,isomorphisme de graphes,Problème de l'isomorphisme de graphes,https://fr.wikipedia.org/wiki/Probl%C3%A8me_de_l%27isomorphisme_de_graphes,,,,required-now,,
32,Isomorphes,Isomorphisme de graphes,https://fr.wikipedia.org/wiki/Isomorphisme_de_graphes,,,,,,
33,Isomorphes,Isomorphisme de graphes,https://fr.wikipedia.org/wiki/Isomorphisme_de_graphes,,,,,,
34,Isomorphes,Isomorphisme de graphes,https://fr.wikipedia.org/wiki/Isomorphisme_de_graphes,,,,,,
35,isomorphisme de graphes,Isomorphisme de graphes,https://fr.wikipedia.org/wiki/Isomorphisme_de_graphes,,,,,,
35,graphes,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,,
36,graphes,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,,
36,modélisation,Modélisation des données,https://fr.wikipedia.org/wiki/Mod%C3%A9lisation_des_donn%C3%A9es,,,,,,
37,graphes,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,,
38,Graphes de Delaunay,Triangulation de Delaunay,https://fr.wikipedia.org/wiki/Triangulation_de_Delaunay,,,,,,
41,graphes,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,,
41,réseaux sociaux,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
41,sites web,Site web,https://fr.wikipedia.org/wiki/Site_web,,,,,,
42,Graphe-réseau social,Analyse des réseaux sociaux,https://fr.wikipedia.org/wiki/Analyse_des_r%C3%A9seaux_sociaux,,,,,,
42,réseau social,Réseau social,https://fr.wikipedia.org/wiki/R%C3%A9seau_social,,,,,,
44,relation,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,,
47,matrice,Matrice (mathématiques),https://fr.wikipedia.org/wiki/Matrice_(math%C3%A9matiques),,,,required-now,,
48,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,,
49,relation,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,,
49,matrice,Matrice (mathématiques),https://fr.wikipedia.org/wiki/Matrice_(math%C3%A9matiques),,,,,,
49,graphe,Graphe (mathématiques discrètes),https://fr.wikipedia.org/wiki/Graphe_(math%C3%A9matiques_discr%C3%A8tes),,,,,,
50,langage,Langage,https://fr.wikipedia.org/wiki/Langage,,,,,,
50,relations,Relation (mathématiques),https://fr.wikipedia.org/wiki/Relation_(math%C3%A9matiques),,,,,,
51,interprété,Interpreted langage,https://en.wikipedia.org/wiki/Interpreted_language,,,-en,,,
51,machine,Machine,https://fr.wikipedia.org/wiki/Machine,,,,,,
51,logique des prédicats,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,,,required-now,,
52,logique du premier ordre,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,,,required-now,,
52,opérateurs,Opérateur (symbole),https://fr.wikipedia.org/wiki/Op%C3%A9rateur_(symbole),,,,,,
52,quantificateurs,Quantificateur (logique),https://fr.wikipedia.org/wiki/Quantificateur_(logique),,,,,,
52,appartenance,Appartenance (mathématiques),https://fr.wikipedia.org/wiki/Appartenance_(math%C3%A9matiques),,,,,,
52,implication,Implication (logique),https://fr.wikipedia.org/wiki/Implication_(logique),,,,,,
53,ensembles,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,,
53,premier ordre,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,,,,,
54,Notation usuelle,Notation (mathématiques),https://fr.wikipedia.org/wiki/Notation_(math%C3%A9matiques),,,,,,
54,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,,
54,propriété,Propriété (informatique),https://fr.wikipedia.org/wiki/Propri%C3%A9t%C3%A9_(informatique),,,,,,
54,quantificateur,Quantificateur (logique),https://fr.wikipedia.org/wiki/Quantificateur_(logique),,,,,,
54,universelle,Universal quantification,https://en.wikipedia.org/wiki/Universal_quantification,,,-en,required-now,,
54,existentielle,Quantification existentielle,https://fr.wikipedia.org/wiki/Quantification_existentielle,,,,required-now,,
55,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,,
57,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,,
59,ensemble,Ensemble,https://fr.wikipedia.org/wiki/Ensemble,,,,,,
63,logique du premier ordre,Calcul des prédicats,https://fr.wikipedia.org/wiki/Calcul_des_pr%C3%A9dicats,,,,,,
63,propriétés,Propriété (informatique),https://fr.wikipedia.org/wiki/Propri%C3%A9t%C3%A9_(informatique),,,,,,
63,calcul booléen,Algèbre de Boole (logique),https://fr.wikipedia.org/wiki/Alg%C3%A8bre_de_Boole_(logique),,,,,,
63,quantificateur,Quantificateur (logique),https://fr.wikipedia.org/wiki/Quantificateur_(logique),,,,,,
